10027,路口_10027,473.8,1084.45,30,9,无,Road
10028,路口_10028,672.174,1337.39,30,9,无,Road
10030,路口_10030,760,1466.09,30,9,无,Road
10031,路口_10031,716.068,1656.71,30,9,无,Road
10032,路口_10032,702.457,1759.55,30,9,无,Road
10033,路口_10033,874.858,1801.13,30,9,无,Road
10034,路口_10034,1004.16,1898.68,30,9,无,Road
10035,路口_10035,1032.89,1747.45,30,9,无,Road
10036,路口_10036,925.52,1740.64,30,9,无,Road
10038,路口_10038,495.652,1293.91,30,9,无,Road
10042,路口_10042,769.031,1717.67,30,9,无,Road
10043,路口_10043,813.685,1659.12,30,9,无,Road
10044,路口_10044,859.331,1497.38,30,9,无,Road
10045,路口_10045,1139.09,1400.24,30,9,无,Road
10046,路口_10046,1129.9,1451.42,30,9,无,Road
10047,路口_10047,1095.78,1594.46,30,9,无,Road
10048,路口_10048,1116.78,1496.04,30,9,无,Road
10049,路口_10049,1069.54,1696.82,30,9,无,Road
10050,路口_10050,1143.03,1594.46,30,9,无,Road
10051,路口_10051,1263.76,1787.37,30,9,无,Road
10052,路口_10052,1186.33,1776.87,30,9,无,Road
10053,路口_10053,1115.47,1725.69,30,9,无,Road
10054,路口_10054,1124.65,1690.26,30,9,无,Road
10055,路口_10055,1087.91,1649.58,30,9,无,Road
10056,路口_10056,1615.85,1494.21,30,9,无,Road
10057,路口_10057,1739.8,1347.31,30,9,无,Road
10058,路口_10058,1572.24,1390.92,30,9,无,Road
10059,路口_10059,1530.93,1310.59,30,9,无,Road
10060,路口_10060,1627.33,1202.71,30,9,无,Road
10061,路口_10061,1742.75,1089.22,30,9,无,Road
10062,路口_10062,1728.42,964.004,30,9,无,Road
10063,路口_10063,1866.14,956.02,30,9,无,Road
10064,路口_10064,1848.17,894.148,30,9,无,Road
10065,路口_10065,1816.24,866.206,30,9,无,Road
10066,路口_10066,1806.26,816.309,30,9,无,Road
10067,路口_10067,1774.33,834.272,30,9,无,Road
10068,路口_10068,1674.53,824.293,30,9,无,Road
10069,路口_10069,1636.61,822.297,30,9,无,Road
10070,路口_10070,1443.01,734.479,30,9,无,Road
10071,路口_10071,1361.18,732.483,30,9,无,Road
10072,路口_10072,1644.59,724.5,30,9,无,Road
10073,路口_10073,1720.44,718.512,30,9,无,Road
10074,路口_10074,1732.41,674.603,30,9,无,Road
10075,路口_10075,1822.23,676.599,30,9,无,Road
10076,路口_10076,1403.09,680.591,30,9,无,Road
10077,路口_10077,1626.63,646.661,30,9,无,Road
10078,路口_10078,1630.62,502.958,30,9,无,Road
10079,路口_10079,1628.63,473.02,30,9,无,Road
10080,路口_10080,1350.7,629.321,30,9,无,Road
10081,路口_10081,1195.41,319.384,30,9,无,Road
10082,路口_10082,1063.09,336.113,30,9,无,Road
10083,路口_10083,956.63,351.322,30,9,无,Road
10084,路口_10084,970.318,430.408,30,9,无,Road
10085,路口_10085,1069.18,469.95,30,9,无,Road
10086,路口_10086,1073.74,521.66,30,9,无,Road
10087,路口_10087,1221.26,506.451,30,9,无,Road
10088,路口_10088,988.569,527.744,30,9,无,Road
10089,路口_10089,1262.33,501.889,30,9,无,Road
10090,路口_10090,1333.81,497.326,30,9,无,Road
10091,路口_10091,1253.2,406.074,30,9,无,Road
10092,路口_10092,1350.54,425.845,30,9,无,Road
10093,路口_10093,1516.31,412.157,30,9,无,Road
10094,路口_10094,1563.46,348.28,30,9,无,Road
10095,路口_10095,1487.42,444.095,30,9,无,Road
10096,路口_10096,1495.02,497.326,30,9,无,Road
10097,路口_10097,1428.1,413.678,30,9,无,Road
10098,路口_10098,1426.58,445.616,30,9,无,Road
10099,路口_10099,1668.4,307.217,30,9,无,Road
10100,路口_10100,1564.98,310.258,30,9,无,Road
10101,路口_10101,1520.87,252.465,30,9,无,Road
10102,路口_10102,1607.56,247.903,30,9,无,Road
10103,路口_10103,1615.17,313.3,30,9,无,Road
10104,路口_10104,1335.33,305.696,30,9,无,Road
10105,路口_10105,950.547,257.028,30,9,无,Road
10106,路口_10106,2141.13,719.44,30,9,无,Road
10107,路口_10107,2170.22,773.662,30,9,无,Road
10108,路口_10108,2227.09,932.362,30,9,无,Road
